gamma,idle_2nd_error_N_4,idle_2nd_error_N_6,idle_2nd_error_N_8
2.673803043943841828e+00,5.561475415361145621e-04,3.203285436239969655e-03,1.104600407148967171e-02
2.689718538253031532e+00,4.803364446251678368e-04,3.067566019959523053e-03,1.088529442446020158e-02
2.705634032562220792e+00,4.019395048436573588e-04,2.934280696898558874e-03,1.072524932376207885e-02
2.721549526871410496e+00,3.210802354916149326e-04,2.803442441881163344e-03,1.056588645525466386e-02
2.737465021180599756e+00,2.378827265085856014e-04,2.675063436825241437e-03,1.040722333494460694e-02
2.753380515489789460e+00,1.524715504126958874e-04,2.549155055370643831e-03,1.024927737700833015e-02
2.769296009798979163e+00,6.497165719289751246e-05,2.425727928139550810e-03,1.009206573978312094e-02
2.785211504108168423e+00,2.449172588075705553e-05,2.304791687361544463e-03,9.935605482877087405e-03
2.801126998417358127e+00,1.157931978238613713e-04,2.186355463020492676e-03,9.779913382565742427e-03
2.817042492726547387e+00,2.088072829326433327e-04,2.070427389782168032e-03,9.625006200616879198e-03
2.832957987035737091e+00,3.034085323682455355e-04,1.957014877494080412e-03,9.470900431456820770e-03
2.848873481344926795e+00,3.994716235386809589e-04,1.846124446027033001e-03,9.317612272273493104e-03
2.864788975654116054e+00,4.968714598673249589e-04,1.737761954007329508e-03,9.165158331096523101e-03
2.880704469963305758e+00,5.954832673304729209e-04,1.631932380486909775e-03,9.013553396827227865e-03
2.896619964272495018e+00,6.951826947829833426e-04,1.528639923636015583e-03,8.862814348803633654e-03
2.912535458581684722e+00,7.958459075083901529e-04,1.427888015686787143e-03,8.712956397619819882e-03
2.928450952890874426e+00,8.973496895954704384e-04,1.329679267185678590e-03,8.563994916283419051e-03
2.944366447200063686e+00,9.995715240065864825e-04,1.234015522813932970e-03,8.415945020629291007e-03
2.960281941509253389e+00,1.102389704790700036e-03,1.140897838165051779e-03,8.268821743175908817e-03
2.976197435818442649e+00,1.205683415040398462e-03,1.050326489504836919e-03,8.122639830867441763e-03
2.992112930127632353e+00,1.309332823812489003e-03,9.623009743723575640e-04,7.977413881515167324e-03
3.008028424436822501e+00,1.413219181543589687e-03,8.768200148901071026e-04,7.833158215195095905e-03
3.023943918746011317e+00,1.517224872535274027e-03,7.938815658488590585e-04,7.689887097231873012e-03
3.039859413055201465e+00,1.621233564423032320e-03,7.134828128363506199e-04,7.547614416765842556e-03
3.055774907364391169e+00,1.725130267328681827e-03,6.356201820700975403e-04,7.406353932352551135e-03
3.071690401673580428e+00,1.828801357889304688e-03,5.602893375504315642e-04,7.266119193227135384e-03
3.087605895982770132e+00,1.932134763398196719e-03,4.874851933457544583e-04,7.126923517771233292e-03
3.103521390291958948e+00,2.035019958316938715e-03,4.172019130217036707e-04,6.988780028734382921e-03
3.119436884601149096e+00,2.137348096411856215e-03,3.494329187553069658e-04,6.851701604221587666e-03
3.135352378910338800e+00,2.239012053279018210e-03,2.841708861003705805e-04,6.715700905294236939e-03
3.151267873219528060e+00,2.339906518938818236e-03,2.214077887857044671e-04,6.580790489456511336e-03
3.167183367528717763e+00,2.439928064910064365e-03,1.611348288855796998e-04,6.446981999144813825e-03
3.183098861837907023e+00,2.538975218775333959e-03,1.033425165878152502e-04,6.314288918139845767e-03
3.199014356147096727e+00,2.636948511812670874e-03,4.802064609568998101e-05,6.182721598047086209e-03
3.214929850456286431e+00,2.733750595434037214e-03,4.841708975900661782e-06,6.052292109417716989e-03
3.230845344765475691e+00,2.829286241637989866e-03,5.525615854368662999e-05,5.923011747103320776e-03
3.246760839074665395e+00,2.923462448539276403e-03,1.032350182136411633e-04,5.794891631553236722e-03
3.262676333383854654e+00,3.016188491827354826e-03,1.487912899555676727e-04,5.667942602003717308e-03
